state,margin_bin,count,flip_rate,mean_margin
NULL,low,0,0.0,0.0
NULL,mid,0,0.0,0.0
NULL,high,0,0.0,0.0
UNIFORM,low,43055,0.07397514806642666,0.01589926776561573
UNIFORM,mid,43091,0.002204636699078694,0.09359214137091898
UNIFORM,high,45038,0.0,0.5009116755522279
SMALL,low,43171,0.11600379884644785,0.01568244964054599
SMALL,mid,41488,0.012027574238333977,0.09316297655690609
SMALL,high,40105,2.4934546814611646e-05,0.484267234550318
LARGE,low,31060,0.07462974887314874,0.016121489166209126
LARGE,mid,31819,0.00043998868600521703,0.0936639425575246
LARGE,high,30445,0.0,0.4781585091067529
OTHER,low,104668,0.09058164864141859,0.015919473348865388
OTHER,mid,105555,0.003960020842214959,0.09349178682315525
OTHER,high,107033,9.342912933394374e-06,0.4980301803278519
