task,layer,state,count,js_mean,js_sum,js_contribution_ratio
hotpotqa,10,UNIFORM,24516,0.0003700900860857468,9.073128550478168,0.08417523876085932
hotpotqa,10,SMALL,34872,0.0011679073888968888,40.72726646561231,0.37784402146924084
hotpotqa,10,LARGE,36972,0.00029537081363216656,10.920449721608462,0.10131361608933745
hotpotqa,10,OTHER,99864,0.0004713182377086449,47.067724490536115,0.43666712368055477
hotpotqa,11,UNIFORM,48300,0.00029223796280320233,14.115093603394673,0.14250908958713498
hotpotqa,11,SMALL,36192,0.0008936677089023113,32.34362172059245,0.32654831876168294
hotpotqa,11,LARGE,12132,0.00022460238064467994,2.724876081981257,0.02751094825099266
hotpotqa,11,OTHER,99600,0.0005006363370657766,49.863379171751355,0.5034316434001833
xsum,10,UNIFORM,17712,0.0005345286783977588,9.467571951781103,0.08988297237211869
xsum,10,SMALL,20892,0.0019030850703104227,39.75925328892535,0.37746529766084763
xsum,10,LARGE,35616,0.0002791900577553815,9.943633097015667,0.09440258848726292
xsum,10,OTHER,62820,0.0007348256888891079,46.16174977601376,0.4382491414797786
xsum,11,UNIFORM,40656,0.0004938798438496731,20.07917893155231,0.1779357872788127
xsum,11,SMALL,32808,0.001346054246474233,44.16134771832663,0.3913448951443932
xsum,11,LARGE,8604,0.000276373100878454,2.377914159958218,0.021072376991905773
xsum,11,OTHER,54972,0.0008409125296619529,46.22664358057688,0.40964694058489176
all,10,UNIFORM,42228,0.0004390617718636699,18.540700502259053,0.08699621282118668
all,10,SMALL,55764,0.0014433419366354293,80.48651975453808,0.37765684208907285
all,10,LARGE,72588,0.0002874315702130384,20.86408281862403,0.09789792942217712
all,10,OTHER,162684,0.0005730709489965073,93.2294742665478,0.4374490156675428
all,11,UNIFORM,88956,0.0003843953475307679,34.19427253494699,0.16137590689792355
all,11,SMALL,69000,0.0011087676730278015,76.50496943891831,0.3610563380983039
all,11,LARGE,20736,0.00024608363435279086,5.102790241939472,0.024082027250653237
all,11,OTHER,154572,0.0006216521928442911,96.09002275232776,0.4534857277531212
